全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
122033,,市川市,鬼高遺跡,オニタカイセキ,,,市指定史跡,（遺跡）,,122033,,千葉県市川市鬼高1丁目95-18,千葉県,市川市,鬼高1丁目,95-18,,35.71387919,139.9350822,,,,,,,,,,,,日本毛織（株）,32329,,,,,,,,,,,,
122033,,市川市,ヒメアカネ,ヒメアカネ,,,市指定天然記念物,（昆虫）,,122033,,千葉県市川市大町284大町公園自然観察園,千葉県,市川市,大町,284,大町公園自然観察園,35.77058819,139.970019,,,,,,,,,,,,市川市,27923,,,,,,,,,,,,
122033,,市川市,ヒヌマイトトンボ,ヒヌマイトトンボ,,,市指定天然記念物,（昆虫）,,122033,,千葉県市川市河原、稲荷木地先の江戸川河岸の湿地帯,千葉県,市川市,,,河原、稲荷木地先の江戸川河岸の湿地帯,35.70426236,139.9228101,,,,,,,,,,,,市川市,27923,,,,,,,,,,,,
122033,,市川市,伊弉諾神社ハリギリ,イザナギジンジャハリギリ,,,市指定天然記念物,（植物）,,122033,,千葉県市川市堀之内4丁目26-1伊弉諾神社,千葉県,市川市,堀之内4丁目,26-1,伊弉諾神社,35.7626825,139.9163988,,,,,,,,,,,,伊弉諾神社,28969,,,,,,,,,,,,
122033,,市川市,愛宕神社イチョウ,アタゴジンジャイチョウ,,,市指定天然記念物,（植物）,,122033,,千葉県市川市北国分1丁目12-24愛宕神社,千葉県,市川市,北国分1丁目,12-24,愛宕神社,35.7591455,139.9033642,,,,,,,,,,,,愛宕神社,30623,,,,,,,,,,,,
122033,,市川市,禅照庵マキ,ゼンショウアンマキ,,,市指定天然記念物,（植物）,,122033,,千葉県市川市北国分4丁目13-23禅照庵,千葉県,市川市,北国分4丁目,13-23,禅照庵,35.76497814,139.9064236,,,,,,,,,,,,禅照庵,30623,,,,,,,,,,,,
122033,,市川市,立正安国論,リッショウアンコクロン,,,国指定国宝,美術工芸品・書跡,,122033,,千葉県市川市中山2丁目10-1法華経寺内,千葉県,市川市,中山2丁目,10-1,法華経寺内,35.72078006,139.9491782,,,,,,,,,,,,法華経寺,19082,,,,,,,,,,,,
122033,,市川市,勧進本尊抄　附添状　附春日山蒔絵筥,カンジンホンゾンショウツケタリソエジョウツケタリカスガヤママキエバコ,,,国指定国宝,"美術工芸品・書跡
美術工芸品・書跡
美術工芸品・工芸品",,122033,,千葉県市川市中山2丁目10-1法華経寺内,千葉県,市川市,中山2丁目,10-1,法華経寺内,35.72068861,139.9492533,,,,,,,,,,,,法華経寺,19082,,,,,,,,,,,,
122033,,市川市,法華経寺五重塔,ホケキョウジゴジュウノトウ,,,国指定重要文化財,建造物,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.720006,139.9487149,,,,,,,,,,,,法華経寺,5989,,,,,,,,,,,,
122033,,市川市,法華経寺法華堂　附棟札,ホケキョウジホッケドウツケタリムナフダ,,,国指定重要文化財,建造物,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.72063317,139.9478325,,,,,,,,,,,,法華経寺,5989,,,,,,,,,,,,附についてはS60.5.18指定
